room_type,accommodates,neighbourhood_cleansed,bedrooms,beds,price
Entire home/apt,2.0,Leblon,1.0,1.0,500.0
Entire home/apt,5.0,Copacabana,3.0,3.0,4207.0
Private room,4.0,São Cristóvão,1.0,3.0,176.0
Private room,1.0,Barra da Tijuca,1.0,1.0,115.0
Entire home/apt,4.0,Copacabana,2.0,2.0,564.0
Entire home/apt,5.0,Barra da Tijuca,3.0,3.0,1157.0
Entire home/apt,4.0,Jacarepaguá,2.0,4.0,175.0
Entire home/apt,2.0,Ipanema,1.0,1.0,654.0
Entire home/apt,9.0,Barra da Tijuca,4.0,6.0,2250.0
Entire home/apt,5.0,Campo Grande,2.0,4.0,161.0
Entire home/apt,6.0,Barra da Tijuca,2.0,3.0,629.0
Entire home/apt,2.0,Camorim,1.0,1.0,357.0
Private room,3.0,Humaitá,1.0,1.0,240.0
Entire home/apt,7.0,Copacabana,3.0,4.0,3973.0
Private room,2.0,Vargem Grande,1.0,2.0,74.0
Private room,2.0,Botafogo,1.0,2.0,179.0
Entire home/apt,4.0,Copacabana,2.0,2.0,1000.0
Private room,3.0,Recreio dos Bandeirantes,1.0,3.0,556.0
Shared room,3.0,Vargem Grande,1.0,2.0,200.0
Entire home/apt,4.0,Copacabana,1.0,2.0,900.0
Entire home/apt,8.0,Barra da Tijuca,3.0,3.0,1600.0
Entire home/apt,2.0,Flamengo,1.0,1.0,237.0
Entire home/apt,2.0,Ipanema,1.0,2.0,414.0
Entire home/apt,4.0,Recreio dos Bandeirantes,2.0,2.0,1021.0
Entire home/apt,2.0,Ipanema,1.0,1.0,618.0
Entire home/apt,10.0,Copacabana,4.0,5.0,971.0
Shared room,4.0,Copacabana,1.0,4.0,90.0
Private room,3.0,Guaratiba,1.0,2.0,271.0
Private room,3.0,Barra da Tijuca,1.0,1.0,201.0
Private room,2.0,Ipanema,1.0,1.0,442.0
Entire home/apt,3.0,Flamengo,1.0,2.0,356.0
Entire home/apt,10.0,Jacarepaguá,4.0,5.0,1200.0
Entire home/apt,4.0,Copacabana,1.0,3.0,459.0
Entire home/apt,2.0,Cosme Velho,1.0,1.0,56.0
Entire home/apt,5.0,Copacabana,2.0,3.0,3485.0
Entire home/apt,4.0,Recreio dos Bandeirantes,2.0,3.0,243.0
Private room,2.0,Botafogo,2.0,2.0,230.0
Entire home/apt,3.0,Copacabana,1.0,2.0,514.0
Entire home/apt,6.0,Copacabana,3.0,3.0,1214.0
Entire home/apt,6.0,Ipanema,3.0,3.0,2500.0
Entire home/apt,4.0,Copacabana,1.0,2.0,683.0
Entire home/apt,2.0,Jacarepaguá,1.0,1.0,350.0
Private room,2.0,Santa Teresa,1.0,1.0,243.0
Entire home/apt,3.0,Jacarepaguá,1.0,1.0,389.0
Entire home/apt,2.0,Copacabana,1.0,2.0,133.0
Entire home/apt,6.0,Barra da Tijuca,3.0,3.0,1500.0
Private room,1.0,Santa Teresa,1.0,1.0,130.0
Private room,1.0,Leblon,1.0,1.0,60.0
Entire home/apt,2.0,Camorim,1.0,1.0,579.0
Entire home/apt,3.0,Copacabana,1.0,2.0,290.0
Entire home/apt,4.0,São Conrado,2.0,2.0,1000.0
Entire home/apt,6.0,Glória,2.0,2.0,101.0
Entire home/apt,4.0,Bangu,2.0,3.0,160.0
Entire home/apt,5.0,Barra da Tijuca,2.0,4.0,3437.0
Entire home/apt,8.0,Ipanema,4.0,5.0,4171.0
Entire home/apt,4.0,Barra da Tijuca,2.0,2.0,600.0
Entire home/apt,2.0,Copacabana,1.0,2.0,236.0
Entire home/apt,8.0,Copacabana,3.0,5.0,1134.0
Private room,2.0,Copacabana,1.0,2.0,123.0
Entire home/apt,4.0,Ipanema,2.0,3.0,345.0
Entire home/apt,5.0,Leblon,1.0,2.0,1129.0
Entire home/apt,4.0,Barra da Tijuca,1.0,2.0,200.0
Entire home/apt,7.0,Copacabana,3.0,5.0,1200.0
Entire home/apt,5.0,Tijuca,2.0,2.0,379.0
Entire home/apt,5.0,Laranjeiras,3.0,3.0,250.0
Entire home/apt,8.0,Barra da Tijuca,2.0,6.0,743.0
Entire home/apt,10.0,Vargem Grande,4.0,5.0,4446.0
Entire home/apt,4.0,Ipanema,1.0,2.0,449.0
Private room,2.0,Estácio,2.0,1.0,306.0
Private room,1.0,Laranjeiras,1.0,1.0,60.0
Entire home/apt,4.0,Copacabana,1.0,3.0,394.0
Shared room,1.0,Centro,1.0,4.0,90.0
Private room,2.0,Santa Teresa,1.0,1.0,193.0
